violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Trafficking,Youth,2528132,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Trafficking,Youth,2528132,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Trafficking,Adult,31615827,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Trafficking,Adult,31615827,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Trafficking,Adult,31615827,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Trafficking,Adult,31615827,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Trafficking,Adult,31615827,-1
Sale of cannabis to an organization,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,0,0,2018,Trafficking,Adult,31615827,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,4,1,2,7,2018,Trafficking,Youth,2528132,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,11,6,3,20,2018,Trafficking,Youth,2528132,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,28,0,0,28,2018,Trafficking,Adult,31615827,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,62,0,2,64,2018,Trafficking,Adult,31615827,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,27,0,0,27,2018,Trafficking,Adult,31615827,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,81,0,5,86,2018,Trafficking,Adult,31615827,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,18,0,0,18,2018,Trafficking,Adult,31615827,-1
Possession of cannabis for purpose of selling,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,82,0,4,86,2018,Trafficking,Adult,31615827,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Importation-exportation,Youth,2528132,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Importation-exportation,Youth,2528132,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,1,0,7,8,2018,Importation-exportation,Adult,31615827,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,9,9,2018,Importation-exportation,Adult,31615827,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,18,18,2018,Importation-exportation,Adult,31615827,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,1,0,33,34,2018,Importation-exportation,Adult,31615827,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,51,51,2018,Importation-exportation,Adult,31615827,-1
Importation and exportation of cannabis,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,75,75,2018,Importation-exportation,Adult,31615827,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Importation-exportation,Youth,2528132,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Importation-exportation,Youth,2528132,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Importation-exportation,Adult,31615827,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Importation-exportation,Adult,31615827,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Importation-exportation,Adult,31615827,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,1,0,0,1,2018,Importation-exportation,Adult,31615827,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,1,1,2018,Importation-exportation,Adult,31615827,-1
Possession of cannabis for purpose of exportation,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,1,1,2018,Importation-exportation,Adult,31615827,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Production and cultivation,Youth,2528132,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,1,1,2018,Production and cultivation,Youth,2528132,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,3,0,0,3,2018,Production and cultivation,Adult,31615827,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,5,0,1,6,2018,Production and cultivation,Adult,31615827,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,3,0,0,3,2018,Production and cultivation,Adult,31615827,-1
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,6,0,0,6,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Production and cultivation,Youth,2528132,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,1,0,0,1,2018,Production and cultivation,Youth,2528132,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,2,0,0,2,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,7,0,1,8,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,4,0,0,4,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,12,0,1,13,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,4,0,0,4,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by adult",Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,53,0,3,56,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Production and cultivation,Youth,2528132,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,1,0,0,1,2018,Production and cultivation,Youth,2528132,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,1,0,0,1,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,2,0,0,2,2018,Production and cultivation,Youth,2528132,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,3,2,5,2018,Production and cultivation,Youth,2528132,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,1,0,0,1,2018,Production and cultivation,Adult,31615827,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,3,0,1,4,2018,Production and cultivation,Adult,31615827,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,2,0,0,2,2018,Production and cultivation,Adult,31615827,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Production and cultivation,Adult,31615827,-1
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,8,0,0,8,2018,Production and cultivation,Adult,31615827,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,4,0,0,4,2018,Other,Youth,2528132,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,3,0,0,3,2018,Other,Youth,2528132,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Other,Adult,31615827,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,2,0,0,2,2018,Other,Adult,31615827,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Other,Adult,31615827,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Other,Adult,31615827,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Other,Adult,31615827,-1
Use of young person in the commission of a cannabis offence,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,0,0,2018,Other,Adult,31615827,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,3,1,3,7,2018,Production and cultivation,Youth,2528132,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,11,4,13,28,2018,Production and cultivation,Youth,2528132,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,3,0,2,5,2018,Production and cultivation,Adult,31615827,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,9,0,2,11,2018,Production and cultivation,Adult,31615827,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,2,0,0,2,2018,Production and cultivation,Adult,31615827,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,8,0,2,10,2018,Production and cultivation,Adult,31615827,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,2,0,1,3,2018,Production and cultivation,Adult,31615827,-1
Other Cannabis Act,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,3,0,5,8,2018,Production and cultivation,Adult,31615827,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,3,0,0,3,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,15,0,0,15,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,45,0,1,46,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,17,0,2,19,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,82,0,1,83,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,35,0,2,37,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,97,0,3,100,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,5,0,1,6,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,9,0,1,10,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,21,0,1,22,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,130,0,10,140,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,45,0,2,47,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,174,0,14,188,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,60,0,10,70,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,253,0,22,275,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,3,0,0,3,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,6,0,0,6,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,18,0,0,18,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,7,0,0,7,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,36,0,0,36,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,17,0,0,17,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired (unspecified),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,59,0,2,61,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,1,0,0,1,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,2,0,0,2,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,5,0,0,5,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,2,0,0,2,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing bodily harm (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,2,0,0,2,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation while impaired causing death (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
Operation- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Drug impaired driving,Youth,2528132,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,2,0,0,2,2018,Drug impaired driving,Adult,31615827,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Drug impaired driving,Adult,31615827,-1
peration- low blood drug concentration,Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,1,0,0,1,2018,Drug impaired driving,Adult,31615827,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Other,Youth,2528132,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Other,Youth,2528132,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,4,0,0,4,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,1,0,0,1,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,3,0,0,3,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (alcohol and drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,3,0,0,3,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Other,Youth,2528132,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Other,Youth,2528132,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,1,0,0,1,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,1,0,0,1,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,1,0,0,1,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,5,0,0,5,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,2,0,0,2,2018,Other,Adult,31615827,-1
Failure or refusal to comply with demand (drugs),Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,3,0,0,3,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Other,Youth,2528132,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Other,Youth,2528132,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Female,0,0,0,0,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",18 to 24,Male,0,0,0,0,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Female,0,0,0,0,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",25 to 34,Male,0,0,0,0,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",35 to 110,Female,0,0,0,0,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (alcohol and drugs)",Canada,"October 17th, 2018 to December 31st, 2018",35 to 89,Male,0,0,0,0,2018,Other,Adult,31615827,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (drugs)",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Female,0,0,0,0,2018,Other,Youth,2528132,-1
"Failure or refusal to comply with demand, accident resulting in bodily harm (drugs)",Canada,"October 17th, 2018 to December 31st, 2018",12 to 17,Male,0,0,0,0,2018,Other,Youth,2528132,-1
